127.0.0.1 - - [05/Jul/2021:09:10:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:10:38 +0900] "GET /Dom_Project/chap09/ex09-01.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:10:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:16:17 +0900] "GET /Dom_Project/chap09/ex09-02.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:16:26 +0900] "GET /Dom_Project/chap09/ex09-02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:18:54 +0900] "GET /Dom_Project/chap09/ex09-02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:19:17 +0900] "GET /Dom_Project/chap09/ex09-02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:20:22 +0900] "GET /Dom_Project/chap09/ex09-02.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:25:18 +0900] "GET /Dom_Project/chap09/ex09-02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:25:26 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:26:51 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:26:53 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:26:54 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:26:55 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:26:55 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:15 +0900] "GET /Dom_Project/chap09/ex09-03.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:33:02 +0900] "GET /Dom_Project/chap09/ex09-04.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:34:36 +0900] "GET /Dom_Project/chap09/ex09-04.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:34:41 +0900] "GET /Dom_Project/chap09/ex09-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:35:17 +0900] "GET /Dom_Project/chap09/ex09-04.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:43:55 +0900] "GET /Dom_Project/chap09/ex09-05.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:43:59 +0900] "GET /Dom_Project/chap09/ex09-05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:46:27 +0900] "GET /Dom_Project/chap09/ex09-05.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:47:54 +0900] "GET /Dom_Project/chap09/ex09-05.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:05:34 +0900] "GET /Dom_Project/chap09/ex09-06.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:18:13 +0900] "GET /Dom_Project/chap09/ex09-07.html HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:25:23 +0900] "GET /Dom_Project/chap09/ex09-09.html HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:25:42 +0900] "GET /Dom_Project/chap09/ex09-propagation.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:26:15 +0900] "GET /Dom_Project/chap09/ex09-propagation.html?s=html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:48:09 +0900] "GET /Dom_Project/chap09/ex09-08.html HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:48:22 +0900] "GET /Dom_Project/chap09/ex09-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:10:48:37 +0900] "GET /Dom_Project/chap09/ex09-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:11:02:18 +0900] "GET /Dom_Project/chap09/ex09-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:11:05:42 +0900] "GET /Dom_Project/chap09/ex09-08.html HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [05/Jul/2021:11:05:56 +0900] "GET /Dom_Project/chap09/ex09-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:11:17:31 +0900] "GET /Dom_Project/chap09/ex09-09.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [05/Jul/2021:11:28:38 +0900] "GET /Dom_Project/chap09/ex09-10.html HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [05/Jul/2021:11:35:11 +0900] "GET /Dom_Project/chap09/ex09-10.html HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:12:32 +0900] "GET /Dom_Project/chap09/ex09-11.html HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:12:32 +0900] "GET /Dom_Project/chap09/media/beach.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:13:43 +0900] "GET /Dom_Project/chap09/ex09-11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:13:43 +0900] "GET /Dom_Project/chap09/media/beach.png HTTP/1.1" 200 145244
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:13:52 +0900] "GET /Dom_Project/chap09/ex09-11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:13:52 +0900] "GET /Dom_Project/chap09/media/beach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:20:54 +0900] "GET /Dom_Project/chap09/ex09-12.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:20:54 +0900] "GET /Dom_Project/chap09/media/beach2.png HTTP/1.1" 200 36593
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:26:50 +0900] "GET /Dom_Project/chap09/ex09-13.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:03 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:03 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:03 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:05 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:05 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:36:05 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:18 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:18 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 200 14599
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:21 +0900] "GET /Dom_Project/chap09/media/banana.png HTTP/1.1" 200 12635
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:37:23 +0900] "GET /Dom_Project/chap09/media/mango.png HTTP/1.1" 200 24705
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:03 +0900] "GET /Dom_Project/chap09/ex09-14.html HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:03 +0900] "GET /Dom_Project/chap09/media/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:12 +0900] "GET /Dom_Project/chap09/media/mango.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:38:13 +0900] "GET /Dom_Project/chap09/media/banana.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:46:26 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [05/Jul/2021:13:47:35 +0900] "GET /Dom_Project/chap09/ex09-16.html HTTP/1.1" 304 -
